date,title,url,category,source,domain
2017-09-09,Stock market sees share trading worth approximately 2.42 billion,https://kathmandutribune.com/stock-market-sees-share-trading-worth-approximately-2-42-billion/,gdelt,gdelt,kathmandutribune.com
2017-09-10,Excess supply exerts pressure on country sole secondary market,https://thehimalayantimes.com/business/excess-supply-exerts-pressure-countrys-sole-secondary-market/,gdelt,gdelt,thehimalayantimes.com
2017-09-10,"Nepse falls flat , down 25.48pts",http://kathmandupost.ekantipur.com/news/2017-09-10/nepse-falls-flat-down-2548pts.html,gdelt,gdelt,kathmandupost.ekantipur.com
2017-09-11,Stock market descends by 2.24 per cent,https://thehimalayantimes.com/business/stock-market-descends-2-24-per-cent/,gdelt,gdelt,thehimalayantimes.com
2017-09-17,Investor speculations cause share market volatility,https://thehimalayantimes.com/business/investor-speculations-cause-share-market-volatility/,gdelt,gdelt,thehimalayantimes.com
2017-09-17,Nepse ends week 24.24pts lower,http://kathmandupost.ekantipur.com/news/2017-09-17/nepse-ends-week-2424pts-lower.html,gdelt,gdelt,kathmandupost.ekantipur.com
2017-09-18,Nepse to miss Nov deadline to introduce online trading,http://kathmandupost.ekantipur.com/news/2017-09-18/nepse-to-miss-nov-deadline-to-introduce-online-trading.html,gdelt,gdelt,kathmandupost.ekantipur.com
2017-09-19,Investors Forum urges government to appoint Nepse GM,https://thehimalayantimes.com/business/investors-forum-urges-government-to-appoint-nepse-general-manager/,gdelt,gdelt,thehimalayantimes.com
2017-09-22,bizmandu . com Website Analysis and Social Media report impact : Bizmandu . com,http://www.coolsocial.net/sites/www/bizmandu.com.html,gdelt,gdelt,coolsocial.net
2017-09-24,"Nepse posts marginal growth , up 9.5 points",http://kathmandupost.ekantipur.com/news/2017-09-24/nepse-posts-marginal-growth-up-95-points.html,gdelt,gdelt,kathmandupost.ekantipur.com
2017-09-24,Benchmark index edges up slightly,https://thehimalayantimes.com/business/benchmark-index-edges-slightly/,gdelt,gdelt,thehimalayantimes.com
2017-09-25,12 cos to issue rights shares worth Rs5.71b,http://kathmandupost.ekantipur.com/news/2017-09-25/12-cos-to-issue-rights-shares-worth-rs571b.html,gdelt,gdelt,kathmandupost.ekantipur.com
2017-09-26,Chilime granted study license of two projects,https://thehimalayantimes.com/business/chilime-granted-study-license-two-projects/,gdelt,gdelt,thehimalayantimes.com
2017-09-26,Chilime granted study license of two projects,https://kathmandutribune.com/chilime-granted-study-license-two-projects/,gdelt,gdelt,kathmandutribune.com
2017-09-26,Chilime granted study license of two projects,http://nepalireporter.com/chilime-granted-study-license-of-two-projects/,gdelt,gdelt,nepalireporter.com
2017-09-27,Sebon probes BFIs for delayed share issue,http://kathmandupost.ekantipur.com/news/2017-09-27/sebon-probes-bfis-for-delayed-share-issue.html,gdelt,gdelt,kathmandupost.ekantipur.com
2017-10-04,Nepse up 6.89pts as market reopens,http://kathmandupost.ekantipur.com/news/2017-10-04/nepse-up-689pts-as-market-reopens.html,gdelt,gdelt,kathmandupost.ekantipur.com
2017-10-04,Nepse up 6.89pts as market reopens,http://www.customstoday.com.pk/nepse-up-6-89pts-as-market-reopens/,gdelt,gdelt,customstoday.com.pk
2017-10-08,"Nepse plunges 37.38pts to 1,542.65",http://kathmandupost.ekantipur.com/news/2017-10-08/nepse-plunges-3738pts-to-154265.html,gdelt,gdelt,kathmandupost.ekantipur.com
2017-10-08,Secondary market drops slightly,https://thehimalayantimes.com/business/secondary-market-drops-slightly/,gdelt,gdelt,thehimalayantimes.com
2017-10-09,Share market falls 8.12 points,http://nepalireporter.com/share-market-falls-8-12-points/,gdelt,gdelt,nepalireporter.com
2017-10-09,Share market falls 8.12 points,https://kathmandutribune.com/share-market-falls-8-12-points/,gdelt,gdelt,kathmandutribune.com
2017-10-10,Saud become new Nepse GM,http://kathmandupost.ekantipur.com/news/2017-10-10/saud-become-new-nepse-gm.html,gdelt,gdelt,kathmandupost.ekantipur.com
2017-10-10,Saud appointed as share market GM,https://thehimalayantimes.com/business/chandra-singh-saud-appointed-share-market-general-manager/,gdelt,gdelt,thehimalayantimes.com
2017-10-10,Nepse index surges by 0.74 points,https://kathmandutribune.com/nepse-index-surges-0-74-points/,gdelt,gdelt,kathmandutribune.com
2017-10-13,October 2017 – People Review,http://peoplesreview.com.np/2017/10/,gdelt,gdelt,peoplesreview.com.np
2017-10-13,Saud NEPSE new GM – People Review,http://peoplesreview.com.np/2017/10/13/saud-nepses-new-gm/,gdelt,gdelt,peoplesreview.com.np
2017-10-15,Investor sentiment takes a hit,https://thehimalayantimes.com/business/investor-sentiment-takes-hit/,gdelt,gdelt,thehimalayantimes.com
2017-10-15,"Nepse in Dashain hangover , down 32.63 points",http://kathmandupost.ekantipur.com/news/2017-10-15/nepse-in-dashain-hangover-down-3263-points.html,gdelt,gdelt,kathmandupost.ekantipur.com
2017-10-16,Nepse soars by double digits,https://kathmandutribune.com/nepse-soars-double-digits/,gdelt,gdelt,kathmandutribune.com
2017-10-17,Nepse rebounds 47 points as election preparation buoys investors,http://www.customstoday.com.pk/nepse-rebounds-47-points-as-election-preparation-buoys-investors/,gdelt,gdelt,customstoday.com.pk
2017-10-19,Nepse suspends trading in shares of 26 firms,http://kathmandupost.ekantipur.com/news/2017-10-19/nepse-suspends-trading-in-shares-of-26-firms.html,gdelt,gdelt,kathmandupost.ekantipur.com
2017-10-25,It getting better,http://kathmandupost.ekantipur.com/news/2017-10-25/its-getting-better.html,gdelt,gdelt,kathmandupost.ekantipur.com
2017-10-27,Modernisation of secondary market faces delays,https://thehimalayantimes.com/business/modernisation-of-secondary-market-faces-delays/,gdelt,gdelt,thehimalayantimes.com
2017-10-29,Nepse index plunges 14.63 points,http://kathmandupost.ekantipur.com/news/2017-10-29/nepse-index-plunges-1463-points.html,gdelt,gdelt,kathmandupost.ekantipur.com
2017-10-29,Secondary market drops slightly,https://thehimalayantimes.com/business/secondary-market-drops-slightly-2/,gdelt,gdelt,thehimalayantimes.com
2017-10-31,Can investing in frontier markets tackle corruption,https://www.london.edu/faculty-and-research/lbsr/can-investing-in-frontier-markets-tackle-corruption,gdelt,gdelt,london.edu
2017-11-01,SEBON instruction,https://thehimalayantimes.com/business/sebons-instruction/,gdelt,gdelt,thehimalayantimes.com
2017-12-03,Election optimism fuels secondary market,https://thehimalayantimes.com/business/election-optimism-fuels-secondary-market/,gdelt,gdelt,thehimalayantimes.com
2017-12-03,Nepse surges by nearly 45 points,http://kathmandupost.ekantipur.com/news/2017-12-03/nepse-surges-by-nearly-45-points.html,gdelt,gdelt,kathmandupost.ekantipur.com
2017-12-05,Nepse expedites procedures to begin margin lending,https://thehimalayantimes.com/business/nepse-expedites-procedures-begin-margin-lending/,gdelt,gdelt,thehimalayantimes.com
2017-12-10,Nepse index posts loss of 1.13pts,http://kathmandupost.ekantipur.com/news/2017-12-10/nepse-index-posts-loss-of-113pts.html,gdelt,gdelt,kathmandupost.ekantipur.com
